fname,itp,tp_prob,its,ts_prob
HK.HKCC2.npz_3000.npz,[],[],[],[]
HK.HKCC2.npz_6000.npz,[],[],[],[]
HK.HKCC2.npz_4500.npz,[],[],[],[]
HK.HKCC2.npz_10500.npz,[],[],[],[]
HK.HKCC2.npz_9000.npz,[],[],[],[]
HK.HKCC2.npz_1500.npz,[],[],[],[]
HK.HKCC2.npz_7500.npz,[],[],[],[]
HK.HKCC2.npz_0.npz,[],[],[],[]
HK.HKCC2.npz_18000.npz,[],[],[],[]
HK.HKCC2.npz_15000.npz,[],[],[],[]
HK.HKCC2.npz_22500.npz,[],[],[99],[ 0.32484806]
HK.HKCC2.npz_13500.npz,[],[],[],[]
HK.HKCC2.npz_21000.npz,[],[],[],[]
HK.HKCC2.npz_16500.npz,[],[],[],[]
HK.HKCC2.npz_27000.npz,[],[],[],[]
HK.HKCC2.npz_19500.npz,[],[],[],[]
HK.HKCC2.npz_28500.npz,[],[],[],[]
HK.HKCC2.npz_34500.npz,[],[],[],[]
HK.HKCC2.npz_30000.npz,[],[],[],[]
HK.HKCC2.npz_12000.npz,[],[],[],[]
HK.HKCC2.npz_33000.npz,[],[],[],[]
HK.HKCC2.npz_25500.npz,[],[],[],[]
HK.HKCC2.npz_39000.npz,[],[],[],[]
HK.HKCC2.npz_45000.npz,[],[],[],[]
HK.HKCC2.npz_46500.npz,[],[],[],[]
HK.HKCC2.npz_37500.npz,[],[],[],[]
HK.HKCC2.npz_42000.npz,[],[],[],[]
HK.HKCC2.npz_24000.npz,[],[],[],[]
HK.HKCC2.npz_40500.npz,[],[],[],[]
HK.HKCC2.npz_31500.npz,[],[],[],[]
HK.HKCC2.npz_43500.npz,[],[],[],[]
HK.HKCC2.npz_52500.npz,[],[],[],[]
HK.HKCC2.npz_36000.npz,[],[],[],[]
HK.HKCC2.npz_57000.npz,[],[],[],[]
HK.HKCC2.npz_58500.npz,[],[],[],[]
HK.HKCC2.npz_51000.npz,[],[],[],[]
HK.HKCC2.npz_54000.npz,[],[],[],[]
HK.HKCC2.npz_49500.npz,[],[],[],[]
HK.HKCC2.npz_64500.npz,[],[],[],[]
HK.HKCC2.npz_70500.npz,[],[],[],[]
HK.HKCC2.npz_61500.npz,[],[],[],[]
HK.HKCC2.npz_69000.npz,[],[],[],[]
HK.HKCC2.npz_63000.npz,[],[],[],[]
HK.HKCC2.npz_55500.npz,[],[],[],[]
HK.HKCC2.npz_66000.npz,[],[],[],[]
HK.HKCC2.npz_82500.npz,[],[],[],[]
HK.HKCC2.npz_76500.npz,[],[],[],[]
HK.HKCC2.npz_81000.npz,[],[],[],[]
HK.HKCC2.npz_73500.npz,[],[],[],[]
HK.HKCC2.npz_48000.npz,[],[],[],[]
HK.HKCC2.npz_75000.npz,[],[],[],[]
HK.HKCC2.npz_67500.npz,[],[],[],[]
HK.HKCC2.npz_78000.npz,[],[],[],[]
HK.HKCC2.npz_93000.npz,[],[],[],[]
HK.HKCC2.npz_85500.npz,[],[],[],[]
HK.HKCC2.npz_87000.npz,[],[],[],[]
HK.HKCC2.npz_79500.npz,[],[],[],[]
HK.HKCC2.npz_88500.npz,[],[],[],[]
HK.HKCC2.npz_90000.npz,[],[],[],[]
HK.HKCC2.npz_94500.npz,[],[],[],[]
HK.HKCC2.npz_106500.npz,[],[],[],[]
HK.HKCC2.npz_100500.npz,[],[],[],[]
HK.HKCC2.npz_105000.npz,[],[],[],[]
HK.HKCC2.npz_60000.npz,[],[],[],[]
HK.HKCC2.npz_102000.npz,[],[],[],[]
HK.HKCC2.npz_91500.npz,[],[],[],[]
HK.HKCC2.npz_99000.npz,[],[],[],[]
HK.HKCC2.npz_97500.npz,[],[],[],[]
HK.HKCC2.npz_72000.npz,[],[],[],[]
HK.HKCC2.npz_109500.npz,[],[],[],[]
HK.HKCC2.npz_114000.npz,[],[],[],[]
HK.HKCC2.npz_111000.npz,[],[],[],[]
HK.HKCC2.npz_103500.npz,[],[],[],[]
HK.HKCC2.npz_118500.npz,[],[],[],[]
HK.HKCC2.npz_130500.npz,[],[],[],[]
HK.HKCC2.npz_84000.npz,[],[],[],[]
HK.HKCC2.npz_121500.npz,[],[],[],[]
HK.HKCC2.npz_117000.npz,[],[],[],[]
HK.HKCC2.npz_123000.npz,[],[],[],[]
HK.HKCC2.npz_112500.npz,[],[],[],[]
HK.HKCC2.npz_115500.npz,[],[],[],[]
HK.HKCC2.npz_126000.npz,[],[],[],[]
HK.HKCC2.npz_129000.npz,[],[],[],[]
HK.HKCC2.npz_127500.npz,[],[],[],[]
HK.HKCC2.npz_133500.npz,[],[],[],[]
HK.HKCC2.npz_138000.npz,[],[],[],[]
HK.HKCC2.npz_124500.npz,[],[],[],[]
HK.HKCC2.npz_135000.npz,[],[],[],[]
HK.HKCC2.npz_142500.npz,[],[],[],[]
HK.HKCC2.npz_96000.npz,[],[],[],[]
HK.HKCC2.npz_147000.npz,[],[],[],[]
HK.HKCC2.npz_145500.npz,[],[],[],[]
HK.HKCC2.npz_136500.npz,[],[],[],[]
HK.HKCC2.npz_141000.npz,[],[],[],[]
HK.HKCC2.npz_154500.npz,[],[],[],[]
HK.HKCC2.npz_108000.npz,[],[],[],[]
HK.HKCC2.npz_150000.npz,[],[],[],[]
HK.HKCC2.npz_139500.npz,[],[],[],[]
HK.HKCC2.npz_148500.npz,[],[],[],[]
HK.HKCC2.npz_153000.npz,[],[],[],[]
HK.HKCC2.npz_157500.npz,[],[],[],[]
HK.HKCC2.npz_162000.npz,[],[],[],[]
HK.HKCC2.npz_166500.npz,[],[],[],[]
HK.HKCC2.npz_151500.npz,[],[],[],[]
HK.HKCC2.npz_120000.npz,[],[],[],[]
HK.HKCC2.npz_165000.npz,[],[],[],[]
HK.HKCC2.npz_160500.npz,[],[],[],[]
HK.HKCC2.npz_159000.npz,[],[],[],[]
HK.HKCC2.npz_169500.npz,[],[],[],[]
HK.HKCC2.npz_172500.npz,[],[],[],[]
HK.HKCC2.npz_163500.npz,[],[],[],[]
HK.HKCC2.npz_132000.npz,[],[],[],[]
HK.HKCC2.npz_178500.npz,[],[],[],[]
HK.HKCC2.npz_174000.npz,[],[],[],[]
HK.HKCC2.npz_171000.npz,[],[],[],[]
HK.HKCC2.npz_177000.npz,[],[],[],[]
HK.HKCC2.npz_184500.npz,[],[],[],[]
HK.HKCC2.npz_181500.npz,[],[],[],[]
HK.HKCC2.npz_190500.npz,[],[],[],[]
HK.HKCC2.npz_144000.npz,[],[],[],[]
HK.HKCC2.npz_193500.npz,[],[],[],[]
HK.HKCC2.npz_183000.npz,[],[],[],[]
HK.HKCC2.npz_175500.npz,[],[],[],[]
HK.HKCC2.npz_196500.npz,[],[],[],[]
HK.HKCC2.npz_189000.npz,[],[],[],[]
HK.HKCC2.npz_156000.npz,[],[],[],[]
HK.HKCC2.npz_186000.npz,[],[],[],[]
HK.HKCC2.npz_202500.npz,[],[],[],[]
HK.HKCC2.npz_195000.npz,[],[],[],[]
HK.HKCC2.npz_214500.npz,[],[],[],[]
HK.HKCC2.npz_207000.npz,[],[],[],[]
HK.HKCC2.npz_226500.npz,[],[],[],[]
HK.HKCC2.npz_201000.npz,[],[],[],[]
HK.HKCC2.npz_187500.npz,[],[],[],[]
HK.HKCC2.npz_168000.npz,[],[],[],[]
HK.HKCC2.npz_198000.npz,[],[],[],[]
HK.HKCC2.npz_205500.npz,[],[],[],[]
HK.HKCC2.npz_208500.npz,[],[],[],[]
HK.HKCC2.npz_199500.npz,[],[],[],[]
HK.HKCC2.npz_180000.npz,[],[],[],[]
HK.HKCC2.npz_213000.npz,[],[],[],[]
HK.HKCC2.npz_217500.npz,[],[],[],[]
HK.HKCC2.npz_210000.npz,[],[],[],[]
HK.HKCC2.npz_192000.npz,[],[],[],[]
HK.HKCC2.npz_211500.npz,[],[],[],[]
HK.HKCC2.npz_220500.npz,[],[],[],[]
HK.HKCC2.npz_219000.npz,[],[],[],[]
HK.HKCC2.npz_222000.npz,[],[],[],[]
HK.HKCC2.npz_223500.npz,[],[],[],[]
HK.HKCC2.npz_232500.npz,[],[],[],[]
HK.HKCC2.npz_229500.npz,[],[],[],[]
HK.HKCC2.npz_225000.npz,[],[],[],[]
HK.HKCC2.npz_204000.npz,[],[],[],[]
HK.HKCC2.npz_234000.npz,[],[],[],[]
HK.HKCC2.npz_238500.npz,[],[],[],[]
HK.HKCC2.npz_235500.npz,[],[],[],[]
HK.HKCC2.npz_231000.npz,[],[],[],[]
HK.HKCC2.npz_244500.npz,[],[],[],[]
HK.HKCC2.npz_241500.npz,[],[],[],[]
HK.HKCC2.npz_243000.npz,[],[],[],[]
HK.HKCC2.npz_253500.npz,[],[],[1212],[ 0.5483683]
HK.HKCC2.npz_237000.npz,[],[],[],[]
HK.HKCC2.npz_246000.npz,[],[],[],[]
HK.HKCC2.npz_247500.npz,[],[],[],[]
HK.HKCC2.npz_216000.npz,[],[],[],[]
HK.HKCC2.npz_255000.npz,[],[],[],[]
HK.HKCC2.npz_250500.npz,[],[],[],[]
HK.HKCC2.npz_256500.npz,[],[],[],[]
HK.HKCC2.npz_228000.npz,[],[],[],[]
